file_name,arch,depth,width,other,se,acc1,acc2,acc3,time
mobilenetv1_d15_w32_KD_quantized,mobilenetv1_quantized_KD,15,32,NaN,NaN,.9234,.9268,.9153,.0223
mobilenetv1_d12_w64_KD_quantized,mobilenetv1_quantized_KD,12,64,NaN,NaN,.9335,.9418,.9393,.0397
mobilenetv1_d15_w100_quantized,mobilenetv1_quantized_KD,15,100,NaN,NaN,.9445,.9375,.9391,.0966
mobilenetv2_d9_er4_w16_dropout_quantized,mobilenetv2_quantized,9,16,4,NaN,.9247,.9243,.9213,.0276
mobilenetv2_d9_er4_w24_dropout_quantized,mobilenetv2_quantized,9,24,4,NaN,.9319,.9316,.9301,.0444
mobilenetv2_d12_er6_w24_dropout_quantized,mobilenetv2_quantized,12,24,6,NaN,.9417,.9409,.9421,.0878
mobilenetv1_d15_w32_cosine_newKD,mobilenetv1_KD,15,32,NaN,NaN,.9242,.9261,.9236,.0226
mobilenetv1_d12_w64_cosine_newKD,mobilenetv1_KD,12,64,NaN,NaN,.9398,.9415,.9398,.0528
mobilenetv1_d15_w100_cosine,mobilenetv1_KD,15,100,NaN,NaN,.9468,.9457,.9451,.1501
mobilenetv1_d15_w32_se2_cosine_newKD,mobilenetv1_KD,15,32,NaN,2,.9273,.9303,.9291,.0292
mobilenetv1_d12_w64_se2_cosine_newKD,mobilenetv1_KD,12,64,NaN,2,.9427,.9423,.9437,.0630
mobilenetv1_d15_w100_se2_cosine,mobilenetv1_KD,15,100,NaN,2,.9489,.9475,.9472,.1749
mobilenetv2_d12_er6_w24_dropout,mobilenetv2,12,24,6,NaN,.9419,.9448,.9434,.1077
mobilenetv2_d9_er4_w24_dropout,mobilenetv2,9,24,4,NaN,.9359,.9334,.9362,.0503
mobilenetv2_d9_er4_w16_dropout,mobilenetv2,9,16,4,NaN,.9284,.9277,.9305,.0272
mobilenetv2_d12_er6_w24_se2_dropout,mobilenetv2,12,24,6,2,.9456,.9464,.946,.1080
mobilenetv2_d9_er4_w24_se2_dropout,mobilenetv2,9,24,4,2,.9398,.9414,.9394,.0526
mobilenetv2_d9_er4_w16_se2_dropout,mobilenetv2,9,16,4,2,.9295,.9286,.9302,.0286
